experiment_id,search_method,model_setting,profile_setting,rna_encoder,image_encoder,aggregation,fusion,experiment,status,val_accuracy,val_f1,test_accuracy,test_f1,experiment_summary,started_at,finished_at,return_code,run_directory,log_file,error_message
random_001,random,rna_only,singleprofile,scvi_n200,,,,rnaseq/singleprofile/train_on_scvi_n200,planned,,,,,,,,,,,
random_002,random,rna_only,singleprofile,pca_n2000,,,,rnaseq/singleprofile/train_on_pca_n2000,planned,,,,,,,,,,,
random_003,random,rna_only,multiprofile,scgpt,,transformer,,rnaseq/multiprofile/train_transformerpool_on_scgpt,planned,,,,,,,,,,,
random_004,random,rna_only,multiprofile,scgpt,,avgpool,,rnaseq/multiprofile/train_avgpool_on_scgpt,planned,,,,,,,,,,,
random_005,random,multimodal,multiprofile,scgpt,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scgpt_with_concat_imagenet_vit_l,planned,,,,,,,,,,,
random_006,random,rna_only,multiprofile,pca_n2000,,transformer,,rnaseq/multiprofile/train_transformerpool_on_pca_n2000,planned,,,,,,,,,,,
random_007,random,image_only,multiprofile,,imagenet_vit_l,avgpool,,imaging/multiprofile/train_avgpool_on_concat_imagenet_vit_l,planned,,,,,,,,,,,
random_008,random,rna_only,multiprofile,pca_n2000,,avgpool,,rnaseq/multiprofile/train_avgpool_on_pca_n2000,planned,,,,,,,,,,,
random_009,random,image_only,singleprofile,,imagenet_vit_l,,,imaging/singleprofile/train_on_concat_imagenet_vit_l,planned,,,,,,,,,,,
random_010,random,multimodal,multiprofile,scvi_n200,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scvi_n200_with_concat_imagenet_vit_l,planned,,,,,,,,,,,
