experiment_id,search_method,model_setting,profile_setting,rna_encoder,image_encoder,aggregation,fusion,experiment,status,val_accuracy,val_f1,test_accuracy,test_f1,selection_reason,experiment_summary,started_at,finished_at,return_code,run_directory,log_file,error_message
random_001,random,rna_only,singleprofile,scvi_n200,,,,rnaseq/singleprofile/train_on_scvi_n200,completed,0.5242751240730286,0.4971457719802856,,,,,2026-08-05T15:17:10,2026-08-05T15:19:05,0.0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_001_20260805_151710,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_001.log,
random_002,random,rna_only,singleprofile,pca_n2000,,,,rnaseq/singleprofile/train_on_pca_n2000,completed,0.4871421754360199,0.4643659591674804,,,,,2026-08-10T12:38:46,2026-08-10T12:40:01,0.0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_002_20260810_123846,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_002.log,
random_003,random,rna_only,multiprofile,scgpt,,transformer,,rnaseq/multiprofile/train_transformerpool_on_scgpt,completed,0.5104274749755859,0.4951745569705963,,,,,2026-08-10T12:40:01,2026-08-10T13:21:40,0.0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_003_20260810_124001,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_003.log,
random_004,random,rna_only,multiprofile,scgpt,,avgpool,,rnaseq/multiprofile/train_avgpool_on_scgpt,completed,0.5262653827667236,0.5048013925552368,,,,,2026-08-10T13:40:48,2026-08-10T13:56:46,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_004_20260810_134048,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_004.log,
random_005,random,multimodal,multiprofile,scgpt,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scgpt_with_concat_imagenet_vit_l,completed,0.5577200055122375,0.5098002552986145,,,,,2026-08-10T14:34:37,2026-08-10T17:33:40,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_005_20260810_143437,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_005.log,
random_006,random,rna_only,multiprofile,pca_n2000,,transformer,,rnaseq/multiprofile/train_transformerpool_on_pca_n2000,completed,0.5164362788200378,0.4748119115829468,,,,,2026-08-10T17:33:44,2026-08-10T18:53:30,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_006_20260810_173344,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_006.log,
random_007,random,image_only,multiprofile,,imagenet_vit_l,avgpool,,imaging/multiprofile/train_avgpool_on_concat_imagenet_vit_l,completed,0.3594275116920471,0.33720171451568604,,,,,2026-08-10T18:53:33,2026-08-10T20:46:36,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_007_20260810_185333,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_007.log,
random_008,random,rna_only,multiprofile,pca_n2000,,avgpool,,rnaseq/multiprofile/train_avgpool_on_pca_n2000,completed,0.594296395778656,0.5754713416099548,,,,,2026-08-10T20:46:40,2026-08-10T21:59:12,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_008_20260810_204640,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_008.log,
random_009,random,image_only,singleprofile,,imagenet_vit_l,,,imaging/singleprofile/train_on_concat_imagenet_vit_l,completed,0.2241087108850479,0.18642202019691467,,,,,2026-08-10T21:59:17,2026-08-10T22:00:57,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_009_20260810_215917,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_009.log,
random_010,random,multimodal,multiprofile,scvi_n200,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scvi_n200_with_concat_imagenet_vit_l,completed,0.7085205316543579,0.667594850063324,,,,,2026-08-10T22:01:00,2026-08-11T02:09:17,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/random_010_20260810_220100,/homes/55/gitanjali/scGeneScope/experiments/search/logs/random_010.log,
bayes_001,bayesian,image_only,singleprofile,,resnet50,,,imaging/singleprofile/train_on_concat_resnet50,completed,0.2074244320392608,0.1711600720882415,,,Optuna TPE suggestion based on 0 completed Bayesian trial(s).,,2026-08-05T15:35:51,2026-08-05T15:40:37,0.0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/bayes_001_20260805_153551,/homes/55/gitanjali/scGeneScope/experiments/search/logs/bayes_001.log,
llm_metrics_001,llm_metrics,rna_only,singleprofile,scgpt,,,,rnaseq/singleprofile/train_on_scgpt,completed,0.4051052033901214,0.3863111734390259,,,"No experiments have been run yet, so the best next step is to start with a strong and informative baseline. scGPT is a competitive RNA representation, and testing it in the simplest singleprofile RNA-only setting isolates encoder quality without confounding effects from aggregation or multimodal fusion. This gives a useful anchor for later comparisons against scVI, PCA, and more complex multi-profile or multimodal variants.",,2026-08-10T10:47:39,2026-08-10T10:49:16,0.0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/llm_metrics_001_20260810_104739,/homes/55/gitanjali/scGeneScope/experiments/search/logs/llm_metrics_001.log,
