proxy_id,source_experiment_id,search_method,model_setting,profile_setting,rna_encoder,image_encoder,aggregation,fusion,experiment,max_epochs,min_epochs,early_stopping_patience,status,val_accuracy,val_f1,started_at,finished_at,return_code,run_directory,log_file,error_message
proxy_random_009_20260811_125746,random_009,random,image_only,singleprofile,,imagenet_vit_l,,,imaging/singleprofile/train_on_concat_imagenet_vit_l,10,1,2,completed,0.2241087108850479,0.18642202019691467,2026-08-11T12:57:46,2026-08-11T12:59:05,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_009_20260811_125746,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_009_20260811_125746.log,
proxy_random_008_20260811_125927,random_008,random,rna_only,multiprofile,pca_n2000,,avgpool,,rnaseq/multiprofile/train_avgpool_on_pca_n2000,10,1,2,completed,0.5882553458213806,0.5630835890769958,2026-08-11T12:59:27,2026-08-11T13:17:07,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_008_20260811_125927,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_008_20260811_125927.log,
proxy_random_010_20260811_131747,random_010,random,multimodal,multiprofile,scvi_n200,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scvi_n200_with_concat_imagenet_vit_l,10,1,2,failed,,,2026-08-11T13:17:47,2026-08-12T11:17:24,,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_010_20260811_131747,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_010_20260811_131747.log,Interrupted before proxy evaluation completed.
proxy_random_010_20260812_111811,random_010,random,multimodal,multiprofile,scvi_n200,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scvi_n200_with_concat_imagenet_vit_l,10,1,2,completed,0.7062333226203918,0.6720418930053711,2026-08-12T11:18:11,2026-08-12T11:51:16,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_010_20260812_111811,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_010_20260812_111811.log,
proxy_random_001_20260812_115139,random_001,random,rna_only,singleprofile,scvi_n200,,,,rnaseq/singleprofile/train_on_scvi_n200,10,1,2,completed,0.5242751240730286,0.49714577198028564,2026-08-12T11:51:39,2026-08-12T11:52:34,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_001_20260812_115139,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_001_20260812_115139.log,
proxy_random_002_20260812_115234,random_002,random,rna_only,singleprofile,pca_n2000,,,,rnaseq/singleprofile/train_on_pca_n2000,10,1,2,completed,0.47310519218444824,0.44441714882850647,2026-08-12T11:52:34,2026-08-12T11:53:02,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_002_20260812_115234,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_002_20260812_115234.log,
proxy_random_003_20260812_115302,random_003,random,rna_only,multiprofile,scgpt,,transformer,,rnaseq/multiprofile/train_transformerpool_on_scgpt,10,1,2,completed,0.46983104944229126,0.45924848318099976,2026-08-12T11:53:02,2026-08-12T12:01:45,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_003_20260812_115302,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_003_20260812_115302.log,
proxy_random_004_20260812_120146,random_004,random,rna_only,multiprofile,scgpt,,avgpool,,rnaseq/multiprofile/train_avgpool_on_scgpt,10,1,2,completed,0.46048229932785034,0.4334520101547241,2026-08-12T12:01:46,2026-08-12T12:04:00,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_004_20260812_120146,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_004_20260812_120146.log,
proxy_random_005_20260812_120401,random_005,random,multimodal,multiprofile,scgpt,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scgpt_with_concat_imagenet_vit_l,10,1,2,completed,0.5671330690383911,0.5226061940193176,2026-08-12T12:04:01,2026-08-12T12:49:24,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_005_20260812_120401,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_005_20260812_120401.log,
proxy_random_006_20260812_124924,random_006,random,rna_only,multiprofile,pca_n2000,,transformer,,rnaseq/multiprofile/train_transformerpool_on_pca_n2000,10,1,2,completed,0.5164362788200378,0.4748119115829468,2026-08-12T12:49:24,2026-08-12T13:27:06,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_006_20260812_124924,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_006_20260812_124924.log,
proxy_random_007_20260812_132707,random_007,random,image_only,multiprofile,,imagenet_vit_l,avgpool,,imaging/multiprofile/train_avgpool_on_concat_imagenet_vit_l,10,1,2,completed,0.3374180495738983,0.3055844008922577,2026-08-12T13:27:07,2026-08-12T14:05:33,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_007_20260812_132707,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_007_20260812_132707.log,
